service_uid,company_name,origin_crs,origin_stn_name,origin_run_time,origin_run_date,planned_final_destination,planned_final_crs,destination_reached_crs,destination_reached_name,scheduled_arrival_time,scheduled_arrival_date,arrival_lateness,cancellation_station_crs,cancellation_station_name,cancel_code
G66026,Transport for Wales,MNC,Manchester Piccadilly,071800,2023-09-03,Chester,CTR,CHS,Chester,092800,2023-09-03,0,,,
S87239,Northern,MNC,Manchester Piccadilly,073000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,084000,2023-09-03,0,,,
J67000,Transpennine Express,MNC,Manchester Piccadilly,073000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,075500,2023-09-03,0,,,
P60529,Northern,MNC,Manchester Piccadilly,074300,2023-09-03,Sheffield,SHF,SHE,Sheffield,090400,2023-09-03,5,,,
J67001,Transpennine Express,MNC,Manchester Piccadilly,080000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,082500,2023-09-03,0,,,
N80624,Transpennine Express,MNC,Manchester Piccadilly,080000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,090000,2023-09-03,0,,,
L33286,Avanti West Coast,MNC,Manchester Piccadilly,080600,2023-09-03,London Euston,EUS,EUS,London Euston,110000,2023-09-03,-13,,,
P44498,Northern,MNC,Manchester Piccadilly,080900,2023-09-03,Crewe,CRE,ALD,Alderley Edge,083500,2023-09-03,42,SDB,Sandbach,ZX
G67952,Transpennine Express,MNC,Manchester Piccadilly,081200,2023-09-03,Cleethorpes,CLE,GRM,Grimsby Town,104130,2023-09-03,19,CLE,Cleethorpes,I5
L33292,Avanti West Coast,MNC,Manchester Piccadilly,082000,2023-09-03,London Euston,EUS,EUS,London Euston,111000,2023-09-03,21,,,
G59358,CrossCountry,MNC,Manchester Piccadilly,082700,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,132600,2023-09-03,0,,,
P45161,Northern,MNC,Manchester Piccadilly,082900,2023-09-03,Sheffield,SHF,SHE,Sheffield,094730,2023-09-03,5,,,
N80625,Transpennine Express,MNC,Manchester Piccadilly,083000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,093000,2023-09-03,0,,,
J67002,Transpennine Express,MNC,Manchester Piccadilly,083000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,085500,2023-09-03,0,,,
S87260,Northern,MNC,Manchester Piccadilly,083000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,094000,2023-09-03,0,,,
P43989,Northern,MNC,Manchester Piccadilly,085000,2023-09-03,Buxton,BUX,BUX,Buxton,095300,2023-09-03,16,,,
J67003,Transpennine Express,MNC,Manchester Piccadilly,090000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,092500,2023-09-03,0,,,
N80626,Transpennine Express,MNC,Manchester Piccadilly,090000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,100000,2023-09-03,0,,,
P44500,Northern,MNC,Manchester Piccadilly,090000,2023-09-03,Crewe,CRE,CRE,Crewe,094800,2023-09-03,10,,,
P44205,Northern,MNC,Manchester Piccadilly,090600,2023-09-03,Chester,CTR,CHS,Chester,103700,2023-09-03,14,,,
G59362,CrossCountry,MNC,Manchester Piccadilly,092700,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,142700,2023-09-03,3,,,
P60075,Northern,MNC,Manchester Piccadilly,092900,2023-09-03,Manchester Piccadilly,MAN,MNC,Manchester Piccadilly,105000,2023-09-03,0,,,
J67004,Transpennine Express,MNC,Manchester Piccadilly,093000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,095500,2023-09-03,0,,,
N80627,Transpennine Express,MNC,Manchester Piccadilly,093000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,103000,2023-09-03,0,,,
L98384,Transport for Wales,MNC,Manchester Piccadilly,093000,2023-09-03,Swansea,SWA,SWA,Swansea,141800,2023-09-03,-3,,,
S87261,Northern,MNC,Manchester Piccadilly,093000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,104000,2023-09-03,0,,,
P60537,Northern,MNC,Manchester Piccadilly,093100,2023-09-03,Sheffield,SHF,SHE,Sheffield,105100,2023-09-03,8,,,
P43996,Northern,MNC,Manchester Piccadilly,094700,2023-09-03,Buxton,BUX,BUX,Buxton,104500,2023-09-03,-5,,,
N80651,Transpennine Express,MNC,Manchester Piccadilly,095200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,112700,2023-09-03,0,,,
P44505,Northern,MNC,Manchester Piccadilly,095700,2023-09-03,Crewe,CRE,CRE,Crewe,104600,2023-09-03,12,,,
